연번,시도명,시군구명,법정동명,관리번호,시설물명,세부위치,위도,경도,데이터기준일자,이미지명,비고
498,경기도,성남시 수정구,수진동,성남-rtbs-320,가로수,현대청과야채 앞,37.440269,127.132227,2022.10.18,성남-rtbs-320-04.jpeg,
499,경기도,성남시 수정구,수진동,성남-rtbs-320,전봇대,현대청과야채 앞,37.440276,127.132207,2022.10.18,성남-rtbs-320-05.jpeg,
500,경기도,성남시 수정구,수진동,성남-rtbs-321,교통표지판,예스마트앞,37.437628,127.133211,2022.10.18,성남-rtbs-321-01.jpeg,
501,경기도,성남시 수정구,수진동,성남-rtbs-321,전봇대,예스마트앞,37.437637,127.133205,2022.10.18,성남-rtbs-321-02.jpeg,
502,경기도,성남시 수정구,수진동,성남-rtbs-321,기둥,예스마트앞,37.43765,127.133199,2022.10.18,성남-rtbs-321-03.jpeg,
503,경기도,성남시 중원구,도촌동,성남-rtbs-322,신호등,이왕이공원 뒷편,37.412562,127.163221,2022.10.18,성남-rtbs-322-01.jpeg,
504,경기도,성남시 중원구,도촌동,성남-rtbs-322,신호등,이왕이공원 뒷편,37.412544,127.163251,2022.10.18,성남-rtbs-322-02.jpeg,
505,경기도,성남시 중원구,도촌동,성남-rtbs-323,신호등,롯데리아 도촌점 앞,37.416541,127.151002,2022.10.18,성남-rtbs-323-01.jpeg,
506,경기도,성남시 중원구,도촌동,성남-rtbs-323,신호등,롯데리아 도촌점 앞,37.416581,127.151071,2022.10.18,성남-rtbs-323-02.jpeg,
507,경기도,성남시 중원구,상대원동,성남-rtbs-325,신호등,아침주식회사 앞,37.439628,127.176192,2022.10.25,성남-rtbs-325-01.jpeg,
508,경기도,성남시 중원구,상대원동,성남-rtbs-325,신호등,아침주식회사 앞,37.439651,127.176223,2022.10.25,성남-rtbs-325-02.jpeg,
509,경기도,성남시 수정구,수진동,성남-rtbs-326,전봇대,수진119안전센터 앞,37.436483,127.133748,2022.10.18,성남-rtbs-326-01.jpeg,
510,경기도,성남시 수정구,수진동,성남-rtbs-327,전봇대,조흥빌딩 앞,37.438953,127.132603,2022.10.18,성남-rtbs-327-01.jpeg,
511,경기도,성남시 수정구,수진동,성남-rtbs-327,CCTV,조흥빌딩 앞,37.438937,127.132603,2022.10.18,성남-rtbs-327-02.jpeg,
512,경기도,성남시 수정구,수진동,성남-rtbs-328,가로수,성체유치원 정문,37.439107,127.137747,2022.10.21,성남-rtbs-328-01.jpeg,
513,경기도,성남시 수정구,수진동,성남-rtbs-328,이정표,성체유치원 정문,37.439098,127.137761,2022.10.21,성남-rtbs-328-02.jpeg,
514,경기도,성남시 중원구,상대원동,성남-rtbs-329,신호등,타이어프로 맞은편,37.432104,127.167271,2022.10.21,성남-rtbs-329-01.jpeg,
